開催日,競馬場,レース番号,出走時刻,レース名,コース,距離,出走頭数,金額,開催日(年),開催日(月)
2021/12/28,中山,1,09:50,2歳未勝利,ダート,1200,16,110,2021,12
2021/12/28,中山,2,10:15,2歳未勝利,ダート,1800,16,240,2021,12
2021/12/28,中山,3,10:45,2歳未勝利,芝,1600,15,2170,2021,12
2021/12/28,中山,4,11:15,2歳未勝利,芝,1800,16,3160,2021,12
2021/12/28,中山,5,12:05,2歳新馬,芝,2000,8,5930,2021,12
2021/12/28,中山,6,12:35,2歳新馬,ダート,1200,14,,2021,12
2021/12/28,中山,7,13:05,２０２１ヤングジョッキーズシリーズファイナルラウンド中山１戦,芝,2000,16,150,2021,12
2021/12/28,中山,8,13:40,3歳以上1勝クラス,ダート,1200,16,2420,2021,12
2021/12/28,中山,9,14:10,２０２１ヤングジョッキーズシリーズファイナルラウンド中山２戦,ダート,1800,16,220,2021,12
2021/12/28,中山,10,14:45,ベストウィッシュカップ,ダート,1200,16,350,2021,12
2021/12/28,中山,11,15:25,ホープフルステークス,芝,2000,15,2470,2021,12
2021/12/28,中山,12,16:05,立志ステークス,芝,1600,12,1130,2021,12
2021/12/28,阪神,1,10:00,2歳未勝利,ダート,1800,12,110,2021,12
2021/12/28,阪神,2,10:30,2歳未勝利,芝,1200,16,590,2021,12
2021/12/28,阪神,3,11:00,2歳未勝利,ダート,1200,16,320,2021,12
2021/12/28,阪神,4,11:30,障害3歳以上未勝利,障害,2970,14,,2021,12
2021/12/28,阪神,5,12:20,2歳新馬,芝,1600,17,13680,2021,12
2021/12/28,阪神,6,12:50,2歳未勝利,芝,1800,16,7760,2021,12
2021/12/28,阪神,7,13:20,2歳1勝クラス,ダート,1800,13,3990,2021,12
2021/12/28,阪神,8,13:55,3歳以上1勝クラス,ダート,1400,14,3880,2021,12
2021/12/28,阪神,9,14:31,春待月賞,ダート,1200,13,3970,2021,12
2021/12/28,阪神,10,15:05,フォーチュンカップ,芝,2000,10,1100,2021,12
2021/12/28,阪神,11,15:45,ベテルギウスステークス,ダート,1800,16,1330,2021,12
2021/12/28,阪神,12,16:25,２０２１ファイナルステークス,芝,1200,16,1060,2021,12
2021/12/26,中山,1,09:35,2歳未勝利,ダート,1200,16,6610,2021,12
2021/12/26,中山,2,10:05,2歳未勝利,ダート,1800,14,1080,2021,12
2021/12/26,中山,3,10:35,2歳未勝利,芝,1200,16,2910,2021,12
2021/12/26,中山,4,11:05,2歳未勝利,芝,2000,18,7020,2021,12
2021/12/26,中山,5,11:35,2歳新馬,ダート,1200,16,,2021,12
2021/12/26,中山,6,12:25,2歳新馬,芝,1600,16,6040,2021,12
2021/12/26,中山,7,12:55,3歳以上1勝クラス,ダート,1800,16,,2021,12
2021/12/26,中山,8,13:25,冬至特別,ダート,1200,16,280,2021,12
2021/12/26,中山,9,14:00,グッドラックハンデキャップ,芝,2500,16,710,2021,12
2021/12/26,中山,10,14:35,２０２１フェアウェルステークス,ダート,1200,16,220,2021,12
2021/12/26,中山,11,15:25,有馬記念,芝,2500,16,620,2021,12
2021/12/26,中山,12,16:05,キャンドルライト賞,芝,1200,16,5470,2021,12
2021/12/26,阪神,1,09:50,2歳未勝利,ダート,1800,16,150,2021,12
2021/12/26,阪神,2,10:20,2歳未勝利,ダート,1400,16,6480,2021,12
2021/12/26,阪神,3,10:50,2歳未勝利,芝,2000,13,2620,2021,12
2021/12/26,阪神,4,11:20,2歳新馬,ダート,1800,16,,2021,12
2021/12/26,阪神,5,11:50,障害3歳以上未勝利,障害,2970,14,670,2021,12
2021/12/26,阪神,6,12:40,2歳新馬,芝,1400,18,310,2021,12
2021/12/26,阪神,7,13:10,3歳以上1勝クラス,ダート,1800,15,,2021,12
2021/12/26,阪神,8,13:45,3歳以上1勝クラス,芝,1600,18,2120,2021,12
2021/12/26,阪神,9,14:20,鳥取特別,ダート,1800,13,1260,2021,12
2021/12/26,阪神,10,15:00,サンタクロースステークス,芝,2000,10,250,2021,12
2021/12/26,阪神,11,15:50,りんくうステークス,ダート,1200,16,940,2021,12
2021/12/26,阪神,12,16:25,猪名川特別,芝,1400,15,1050,2021,12
2021/12/25,中山,1,09:50,2歳未勝利,ダート,1200,16,120,2021,12
2021/12/25,中山,2,10:15,2歳未勝利,ダート,1800,16,4440,2021,12
2021/12/25,中山,3,10:45,2歳未勝利,芝,1600,16,10110,2021,12
2021/12/25,中山,4,11:15,2歳未勝利,ダート,1800,13,1740,2021,12
2021/12/25,中山,5,12:05,2歳新馬,芝,1800,16,1850,2021,12
2021/12/25,中山,6,12:35,2歳新馬,ダート,1800,15,,2021,12
2021/12/25,中山,7,13:05,2歳1勝クラス,ダート,1200,16,,2021,12
2021/12/25,中山,8,13:35,3歳以上1勝クラス,ダート,1200,16,2450,2021,12
2021/12/25,中山,9,14:05,ノエル賞,芝,1200,16,5060,2021,12
2021/12/25,中山,10,14:45,中山大障害,障害,4100,14,1350,2021,12
2021/12/25,中山,11,15:25,グレイトフルステークス,芝,2500,10,4870,2021,12
2021/12/25,中山,12,16:01,クリスマスカップ,芝,1600,16,200,2021,12
2021/12/25,阪神,1,10:01,2歳未勝利,ダート,1800,10,7510,2021,12
2021/12/25,阪神,2,10:30,2歳未勝利,ダート,1200,16,6600,2021,12
2021/12/25,阪神,3,11:00,2歳未勝利,ダート,1800,16,370,2021,12
2021/12/25,阪神,4,11:30,2歳未勝利,芝,1600,18,1060,2021,12
2021/12/25,阪神,5,12:20,2歳新馬,芝,1800,14,4620,2021,12
2021/12/25,阪神,6,12:50,2歳新馬,ダート,1400,16,230,2021,12
2021/12/25,阪神,7,13:20,3歳以上1勝クラス,ダート,1800,9,3220,2021,12
2021/12/25,阪神,8,13:55,3歳以上1勝クラス,ダート,1200,16,470,2021,12
2021/12/25,阪神,9,14:31,万両賞,芝,1400,11,,2021,12
2021/12/25,阪神,10,15:05,摩耶ステークス,ダート,1800,11,3450,2021,12
2021/12/25,阪神,11,15:45,阪神カップ,芝,1400,18,11860,2021,12
2021/12/25,阪神,12,16:20,3歳以上2勝クラス,ダート,1400,16,5350,2021,12
2021/12/19,中京,1,09:55,2歳未勝利,ダート,1800,12,2030,2021,12
